DATE,buy/sell,STA,LTA,balance,amount of stock
08-03-22,BUY,485.6534225463867,492.00852569580076,230.47412109375,284.0
09-22-22,SELL,491.6347122192383,487.7576965332031,169092.72436523438,284.0
11-17-22,BUY,509.1456466674805,518.6418975830078,298.173828125,488.0
11-30-22,BUY,407.39029998779296,493.34742919921877,2.947052001953125,489.0
10-04-23,SELL,109.71944999694824,108.74434982299805,54426.32800292969,489.0
11-24-23,BUY,101.5729766845703,102.29265632629395,20.621971130371094,659.0
06-17-24,BUY,25.273500156402587,35.24787405014038,0.0019702911376953125,660.0
06-21-24,FINAL SELL,24.3020001411438,34.43499383926392,14605.801416397095,660.0
