DATE,buy/sell,STA,LTA,balance,amount of stock
06-21-21,BUY,37.826538467407225,37.08693895339966,34.33344650268555,2673.0
10-14-21,SELL,40.944369316101074,41.37496124267578,107683.61061096191,2673.0
11-02-21,BUY,42.500835227966306,42.30746601104736,6.768714904785156,2118.0
01-31-22,SELL,53.41348991394043,53.480630493164064,92662.16680908203,2118.0
01-23-23,BUY,11.069293975830078,10.891863660812378,4.231083869934082,6353.0
05-12-23,SELL,14.248164844512939,14.306506328582763,88268.99038791656,6353.0
05-23-23,BUY,14.808062744140624,14.762681322097778,6.396912574768066,5264.0
09-20-23,SELL,21.49917850494385,21.668900184631347,96715.64972019196,5264.0
12-01-23,BUY,21.436272716522218,21.16250099182129,21.90908908843994,4216.0
12-05-23,BUY,21.814545154571533,21.07122449874878,0.1074686050415039,4217.0
05-09-24,SELL,37.598440647125244,37.963598022460936,168039.63643741608,4217.0
05-16-24,BUY,38.84344491958618,38.65357641220093,32.40812015533447,3642.0
06-27-24,FINAL SELL,55.05343952178955,44.88578931808472,195972.00534152985,3642.0
